Year,female,male
1971,1.9,5.72
1972,2.08,6.13
1974,2.72,7.23
1984,8.99,15.93
1991,12.09,15.64
1992,11.11,13.18
1993,10.11,11.55
1994,9.58,11.36
1995,9.3,11.7
1996,9.35,12.36
1999,10.02,14.74
2000,10.85,16.13
2001,13.09,19.66
2002,14.33,22.84
2003,14.27,24.67
2004,16.02,27.73
2005,18.57,30.85
2006,22.35,35.24
2007,25.76,38.13
2008,28.03,38.3
2009,29.37,37.53
2010,31.56,37.99
2011,33.78,38.27
2012,34.51,37.92
